X;Y;id;alue
293312.212431244;6999931.00564026;217;"Kauhava, Ruhansaari"
285752.691537846;7036497.63199186;218;"Uusikaarlepyy, aevre Mossen"
433621.934583504;7190010.65382582;219;"Tyrnaevae, Korpi"
434602.237258116;7190386.10540633;220;"Tyrnaevae, Jetsonen N"
433117.712764766;7191415.97595181;221;"Tyrnaeva, Ritokorpi-Patala"
407150.358983248;7193443.50207992;222;"Lumijoki, Saeaeskenmaa"
404350.24878835;7188770.46086356;223;"Siikajoki, Vartti"
472662.246547478;7155280.4084231;224;"Vaala, Pelso"
474929.938732854;7147377.49584178;225;"Vaala, Pelso S"
435761.636656332;7186219.13100486;226;"Tyrnaevae, aengeslevae W"
274063.70758013;6722391.78786876;227;"Marttila, Alikylae"
280631.53488375;6727652.52790964;228;"Marttila, Kauppi"
297206.576054033;6703443.29169927;229;"Salo, Romsila, Paeivaelae"
475651.619575612;7153307.51637682;230;"Vaala, Puutteenperae"
447842.57274018;7187612.64068975;231;"Muhos, Soso"
446168.145949312;7185625.77423696;232;"Muhos, Kankaannokka"
294468.123415705;6709272.57706199;233;"Salo, Pertteli, Tattula-N"
296283.897562689;6708711.93823007;234;"Pertteli, Vihtamo"
300875.558535267;6722821.4258194;235;"Rekijoki, Rinnemaeki"
300619.583432162;6723874.84542564;236;"Rekijoki, Sillanpaeae"
299714.665342582;6723821.22787085;237;"Rekijoki, Syvaenoja"
301937.988630824;6725021.94578083;238;"Rekijoki, Koivula"
332476.320057732;6704694.06747811;239;"Lohja, Pusula, Maikkala"
369528.179388338;6700818.48293946;240;"Lepsaemae, Helkku"
369510.679589437;6699826.02409319;241;"Lepsaemae, Nurmela-N"
369086.3077883;6698512.82530285;242;"Lepsaemae, Ali-Labbarti"
369282.593563152;6703347.91901308;243;"Lepsaemae, Koho"
371446.264952521;6704995.6600345;244;"Lepsaemae, Isoniitty"
383954.207806545;6689402.19844426;245;"Vantaa, Seutula-S"
383490.931474147;6691314.15081146;246;"Vantaa, Seutula, Haapasaari ydin"
384901.645897841;6690519.25661255;247;"Vantaa, Seutula, Tuusulanjoki"
384536.74017956;6691656.21979899;248;"Vantaa, Seutula NE"
398731.666339976;6716957.92710664;249;"Maentsaelae, Ohkola Kylae"
399506.12735388;6716477.78483824;250;"Maentsaelae, Ohkola Kylae"
398052.481455249;6717986.29724465;251;"Ohkola, Jaakkola"
423478.217658277;6725208.80488642;252;"Pukkila, Joentausta"
422445.250199337;6726740.98783334;253;"Pukkila, Taka-Kittelae_Ylaestalo"
424259.074883055;6728132.23523178;254;"Orimattila, Kurunkulma"
